(October 15 2014, Decided at_time, January 14 2015)
(remark, expressed, resignation to even propriety of death sentence)
(remark, expressed, resignation to propriety of death sentence)
(counsel, fails, investigate)
(Jennings, establishing, constitutional ineffectiveness)
(Jennings, cited, our decision)
(our decision, is in, Wiggins)
(Jennings, cited, our decision in Wiggins)
(Jennings, establishing, ineffectiveness)
(we, use, terminology)
(we, use, same terminology)
(habeas court, granted Jennings relief on, both of his Wiggins theories)
(habeas court, denied, relief)
(federal habeas court, denied relief on, his Spisak theory)
(habeas court, denied relief on, his Spisak theory)
(habeas court, granted, Jennings relief)
(federal habeas court, granted Jennings relief on, both)
(habeas court, granted Jennings relief on, both)
(federal habeas court, granted Jennings relief on, both of his Wiggins theories)
(federal habeas court, denied, relief)
(federal habeas court, granted, Jennings relief)
(2012 WL 1440387, Tex. at_time, 2012)
(State, release, Jennings)
(State, release Jennings from, custody)
(trial counsel, has, failure to present evidence of deprived background investigate)
(viz., failure to, present evidence of deprived background)
(State, attacking, Wiggins theories)
(District Court, constitutional ineffectiveness on, Wiggins theories)
(Jennings, argued before, Fifth Circuit)
(District Court, found, constitutional ineffectiveness on Wiggins theories)
(District Court, correctly found, ineffectiveness on Wiggins theories)
(District Court, ineffectiveness on, Wiggins theories)
(District Court, found, ineffectiveness on Wiggins theories)
(District Court, correctly found, constitutional ineffectiveness on Wiggins theories)
(Fifth Circuit, judgment for, State)
(Fifth Circuit, reversed, grant)
(Fifth Circuit, rendered judgment for, State)
(Fifth Circuit, reversed, grant of habeas corpus)
(Fifth Circuit, reversed grant under, two Wiggins theories)
(it, lacked, jurisdiction)
(it, lacked, jurisdiction over Jennings ' Spisak theory)
(Jennings, file, notice)
(panel, raising, argument)
(Jennings, file, timely notice of appeal)
(Jennings, file, timely notice)
(Jennings, file, notice of appeal)
(panel, see, Fed)
(panel, raising, argument required)
(Jennings, file, notice of cross-appeal)
(Jennings, file, notice)
(We, granted, 572 U. S. ___)
(We, granted, certiorari)
(We, granted certiorari, decide)
(Jennings, was, required)
(We, granted, 2014)
(rules, are, familiar)
(urging, affirmance of, judgment)
(argumentation, permissible for, appellees)
(appellees, urging, affirmance of judgment)
(appellees, urging, affirmance)
(his argument, attack upon, reasoning of lower court)
(Jennings, denial of, his Spisak theory)
(Jennings, denial of, Spisak theory)
(District Court, under, judgment granting)
(District Court, has, opinion)
(State, release, Jennings)
(District Court 's opinion, commanded, State)
(District Court 's opinion, commanded State in, its section labeled)
(State, release Jennings from, custody)
(District Court 's opinion, commanded State in, its section)
(District Court 's entry, contained, language)
(District Court 's corresponding entry, contained, similar language)
(District Court 's corresponding entry, contained, language)
(District Court 's entry, contained, similar language)
(District Court, has, corresponding entry of judgment)
(State, at, option)
(Spisak theory, would give, him)
(Spisak theory, would give, same)
(Jennings ' theory, expands, rights)
(Jennings ' new theory, expands, rights)
(State 's rights, retain Jennings in, custody)
(State 's rights, retain, Jennings)
(State, has, rights under judgment)
(it, entitles, him)
(State, has, rights at retrial)
(basis, asserted by, successful petitioner)
(basis, asserted by, petitioner)
(basis, asserted by, petitioner seeks)
(additional basis, requires, cross-appeal)
(additional basis, therefore requires, cross-appeal)
(This, is, unusual)
(Courts, define, liabilities)
(Courts, reduce, their opinions)
(liabilities, rights of, parties)
(Courts, reduce, verdicts)
(Courts, precisely define, rights)
(Courts, precisely define, rights of parties)
(Courts, define, rights of parties)
(Courts, reduce verdicts to, judgments)
(Courts, define, rights)
(Courts, precisely define, liabilities)
(they, domesticate, judgment)
(Parties, domesticate, opinion)
(foreign court, has, decree)
(Restatement, §, 1987)
(Foreign Relations Law, of Restatement is, Third)
(court, has, judgment)
(it, impose extrajudgment obligations on, sovereign State)
(opinion, part of, judgment)
(it, is, applied)
(it, is, especially when applied)
(it, is, when applied)
(it, impose, extrajudgment obligations)
(it, impose extrajudgment obligations on, State)
(district court, imposes, appellee)
(court, explicitly impose, condition)
(appellate court, explicitly impose, condition)
(governing, details of, retrial)
(State 's argument, might have, force)
(court, impose, condition)
(appellate court, impose, condition)
(State, has, argument)
(district court, explicitly imposes, appellee)
(orders, are, why atypical)
(such orders, are, why atypical)
(such orders, are, atypical)
(State, of, position)
(orders, are, atypical)
(habeas corpus relief, Construing, federal grant of habeas corpus)
(conditional habeas corpus relief, Construing, federal grant of habeas corpus)
(dissent, posits In, variation)
(he, has changed, judgment 's issue-preclusive effects)
(he, has changed, judgment 's effects)
(dissent, posits In, variation on same theme)
(judgment, has, issue-preclusive effects)
(dissent, posits In, variation on theme)
(State, at, option)
(party, has, rights)
(theory, confuses, party 's rights)
(That, makes, nonsense of American Railway)
(court, affirmed, judgment)
(trial court, decided, case)
(appellate court, affirmed, judgment)
(Judgments § 27, of Restatement is, Second)
(we, established in, Railway)
(we, established in, American Railway)
(State, at, option)
(habeas court, Under, judgment)
(Jennings, was entitled to, release)
(Jennings, was entitled Under, habeas court 's judgment)
(Jennings, was entitled at, State 's option)
(Jennings, was, entitled at State 's option to release)
(Jennings, was, Under habeas court 's judgment entitled at State 's option to release)
(Jennings, was, Under habeas court 's judgment entitled at State 's option)
(Jennings, was, entitled)
(Jennings, was, Under habeas court 's judgment entitled to release)
(proliferation, is in, habeas cases)
(we, think, it does)
(we, think, it does so)
(applicant, even has won, retrial below)
(habeas applicant, even has won, retrial below)
(applicant, even has won, retrial)
(applicant, has won, retrial below)
(habeas applicant, has won, retrial)
(claim, Similarly would require, cross-appeal)
(habeas applicant, has won, retrial below)
(applicant, has won, retrial)
(claim, would require, cross-appeal)
(habeas applicant, even has won, retrial)
(dissent, gives, two examples)
(dissent, except, inability substantiate)
(They, prove, nothing)
(they, be, often expected)
(notion, is, thoroughly implausible)
(they, be, expected)
(they, dilute, their defense of basis for their victory dragging in grounds)
(they, dilute, their defense of basis)
(they, dilute, their defense)
(they, dilute, their defense of basis for their victory dragging)
(they, dilute, their defense of basis for their victory dragging in alternative grounds)
(they, dilute, their defense of basis for their victory dragging in frivolous grounds)
(they, dilute, their defense of basis for their victory dragging in frivolous alternative grounds)
(notion, is, implausible)
(habeas petitioner, be, called)
(habeas petitioner, be, even called)
(habeas petitioner successful, defend, his writ)
(habeas petitioner, be, called upon)
(habeas petitioner, defend, his writ)
(it, Indeed agree as, State)
(habeas petitioner successful, be, called)
(habeas petitioner successful, be, even called)
(habeas petitioner successful, be, called upon)
(habeas petitioner, be, even called upon)
(habeas petitioner successful, be, even called upon)
(it, agree as, State)
(it, is, rare)
(judge, be, will always required)
(judge, consider on, alternative grounds)
(judge, consider on, grounds)
(certificate ruling, will, will made)
(government, has, habeas appeal)
(judge, be, will required)
(certificate ruling, will, will made by just one judge)
(certificate process, requires, opening)
(certificate process, requires, opening of proceeding)
(disposition, opening of, proceeding)
(disposition, opening of, separate proceeding)
(certificate process, opening of, separate proceeding)
(certificate process, requires, disposition)
(certificate process, opening of, proceeding)
(certificate process, requires, opening of separate proceeding)
(dissent, tries In, end)
(dissent, evade, Railway)
(dissent, evade, American Railway)
(dissent, evade Railway, asserting)
(habeas proceedings, claimpreclusive effect of, earlier adjudications)
(things, are, different)
(distinction, is, appropriate)
(District Court, has, ruling rejecting)
(District Court, under, judgment)
(court, under, judgment)
(view, would put cases in, considerable tension with our holding in American Railway)
(view, would put cases in, tension with our oft-reaffirmed holding in American Railway)
(view, would put, cases)
(view, would put cases in, considerable tension with our oft-reaffirmed holding in Railway)
(view, would put cases in, tension)
(view, would put cases in, tension with our oft-reaffirmed holding)
(view, would put cases in, tension with our holding)
(view, would put cases in, considerable tension)
(view, would put cases in, considerable tension with our holding)
(our oft-reaffirmed holding, is in, American Railway)
(view, would put cases in, considerable tension with our oft-reaffirmed holding in American Railway)
(considerable tension, is with, our oft-reaffirmed holding in American Railway)
(view, would put cases in, tension with our holding in American Railway)
(view, would put cases in, considerable tension with our holding in Railway)
(view, would put cases in, tension with our holding in Railway)
(view, would put cases in, considerable tension with our oft-reaffirmed holding)
(view, would put cases in, tension with our oft-reaffirmed holding in Railway)
(taxpayers, regarding, discrete tax liabilities)
(taxpayers, regarding, multiple discrete tax liabilities)
(taxpayers, regarding, discrete federal tax liabilities)
(Alexander, arose from, disputes)
(taxpayers, regarding, multiple discrete federal tax liabilities)
(taxpayers, regarding, federal tax liabilities)
(Alexander, arose from, disputes between Commissioner)
(taxpayers, regarding, tax liabilities)
(taxpayers, regarding, multiple federal tax liabilities)
(Alexander, arose from, disputes between Commissioner of Internal Revenue Service)
(taxpayers, regarding, multiple tax liabilities)
(486, at Alexander is, supra)
(248, at Pfeiffer is, supra)
(Commissioner, prevailed before In, Pfeiffer)
(Commissioner, prevailed In, Pfeiffer)
(Second Circuit, has, review)
(taxpayer, sought, Second Circuit 's review)
(taxpayer, prevailed on, dividend liability)
(taxpayer, Only sought, Second Circuit 's review)
(Commissioner, Only appealed to, Tenth Circuit)
(Commissioner, appealed to, Tenth Circuit)
(court, eliminated, third)
(court, reduced, fourth)
(486, at Alexander is, supra)
(248-249, at Pfeiffer is, supra)
(we, entertain, Commissioner 's arguments regarding cash payment)
(we, citing, American Railway)
(we, entertain, Commissioner 's arguments taxpayer 's regarding eliminated claims in Alexander)
(we, entertain, Commissioner 's arguments regarding cash payment in Pfeiffer taxpayer 's regarding claims)
(we, entertain, Commissioner 's arguments regarding cash payment in Pfeiffer taxpayer 's regarding eliminated claims in Alexander)
(Commissioner, has, arguments)
(we, entertain, Commissioner 's arguments regarding cash payment taxpayer 's regarding eliminated claims)
(we, entertain, Commissioner 's arguments regarding cash payment taxpayer 's regarding claims in Alexander)
(we, entertain, Commissioner 's arguments regarding cash payment taxpayer 's)
(we, entertain, Commissioner 's arguments taxpayer 's regarding eliminated claims)
(we, entertain, Commissioner 's arguments regarding cash payment in Pfeiffer taxpayer 's regarding eliminated claims)
(we, entertain, Commissioner 's arguments regarding cash payment taxpayer 's regarding claims)
(we, entertain, Commissioner 's arguments taxpayer 's)
(we, entertain, Commissioner 's arguments regarding cash payment in Pfeiffer taxpayer 's)
(we, entertain, Commissioner 's arguments regarding cash payment taxpayer 's regarding eliminated claims in Alexander)
(we, citing, Railway)
(we, entertain, Commissioner 's arguments regarding cash payment in Pfeiffer)
(we, entertain, Commissioner 's arguments regarding cash payment in Pfeiffer taxpayer 's regarding claims in Alexander)
(cash payment, is in, Pfeiffer)
(eliminated claims, is in, Alexander)
(we, entertain, Commissioner 's arguments taxpayer 's regarding claims in Alexander)
(we, entertain, Commissioner 's arguments taxpayer 's regarding claims)
(we, entertain, Commissioner 's arguments)
(holdings, expanded, need for cross-appeal)
(lower court, has, disposition of issue)
(holdings, expanded, need)
(holdings, need for, cross-appeal)
(view, distorts, American Railway)
(view, distorts, Railway)
(party, has, arguments)
(it, requires cross-appeal, presented)
(it, requires, cross-appeal)
(party 's arguments, are, presented)
(Commissioner, has, rights)
(assertion, affirmed under, combination)
(assertion, even affirmed under, combination)
(we, have rejected, State)
(implied terms, is in, conditional writs)
(we, Once have rejected, State)
(Jennings, sought, same indivisible relief)
(Jennings, sought, indivisible relief)
(Jennings, sought, same relief)
(Jennings, sought relief, prevailing on single theory)
(Jennings, prevailing on, single theory)
(Jennings, sought, relief)
(Jennings, sought relief, prevailing)
(Jennings, prevailing on, theory)
(Jennings, sought relief, prevailing on theory)
(we, view, cases)
(rule, is in, American Railway)
(cases, rule in, American Railway)
(cases, rule in, Railway)
(he, obtain, certificate of appealability)
(he, obtain, certificate)
(Title 28, of Section is, c)
(It, is, unclear)
(requirement, applies to, habeas petitioner seeking)
(requirement, applies to, habeas petitioner)
(State, has noticed, appeal of grant)
(State, has noticed, appeal)
(court, must hear, case)
(State, appeal of, grant)
(State, once has properly noticed, appeal of grant of habeas relief)
(State, once has noticed, appeal of grant)
(State, once has properly noticed, appeal of grant)
(State, once has properly noticed, appeal)
(State, once has noticed, appeal)
(State, has properly noticed, appeal)
(State, has properly noticed, appeal of grant of habeas relief)
(State, has properly noticed, appeal of grant)
(State, has noticed, appeal of grant of habeas relief)
(case, court of, appeals)
(State, once has noticed, appeal of grant of habeas relief)
(State, appeal of, grant of habeas relief)
(Congress, enacted, c)
(Nothing, is in, statute)
(Nothing, ignoring, distinction)
(AEDPA, has, purpose preventing)
(It, can indulge, lament)
(defense, is, itself)
(It, can indulge lament, insisting)
(It, can indulge lament, only insisting)
(defense, is itself, appeal)
(tak making, is in, defense of judgment)
(appeal, of tak is, ing)
(cross-appeal, obtain, certificate)
(Jennings ' Spisak theory, would neither have, his rights)
(Jennings ' Spisak theory, would have, enlarged his rights)
(cross-appeal, obtain, certificate of appealability)
(Jennings ' Spisak theory, diminished, State 's rights under District Court 's judgment)
(he, was, required)
(District Court, under, judgment)
(State, has, rights under judgment)
(Jennings ' Spisak theory, diminished, State 's rights)
(Jennings ' Spisak theory, would have, his rights)
(Jennings ' Spisak theory, would neither have, enlarged his rights)
(We, remand, case for consideration of Jennings ' Spisak claim)
(We, reverse, judgment of Fifth Circuit)
(We, remand, case for consideration)
(remand, case for, consideration of Jennings ' Spisak claim)
(remand, case for, consideration)
(We, reverse, judgment)
(We, remand, case)
(It, is, ordered)
(It, is, so ordered)
(ROBERT MITCHELL JENNINGS, PETITIONER v., WILLIAM STEPHENS)
(WILLIAM STEPHENS, DEPARTMENT OF, CRIMINAL JUSTICE)
(JUSTICE ALITO, join, dissenting)
(JUSTICE KENNEDY, join, dissenting)
(Court, holds at_time, today)
(sentencing proceeding, may raise, alternative argument)
(State grants, rejected below, that)
(new sentencing proceeding, may raise, alternative argument)
(majority, mistakenly equates judgment, doing)
(majority, equates judgment, doing)
(conditional-release order, is with, ordinary civil judgment)
(majority, mistakenly equates judgment, doing so)
(majority, equates, judgment)
(majority, mistakenly equates, judgment)
(majority, equates judgment, doing so)
(applicant, only has made, showing of denial of right)
(applicant, only has made, showing of denial of constitutional right)
(applicant, showing of, denial of right)
(applicant, only has made, substantial showing of denial of right)
(applicant, has made, substantial showing of denial)
(applicant, has made, showing of denial of right)
(applicant, substantial showing of, denial)
(applicant, only has made, substantial showing of denial of constitutional right)
(applicant, showing of, denial)
(applicant, substantial showing of, denial of constitutional right)
(applicant, has made, showing of denial of constitutional right)
(applicant, showing of, denial of constitutional right)
(applicant, has made, showing of denial)
(applicant, only has made, showing)
(applicant, substantial showing of, denial of right)
(applicant, only has made, substantial showing)
(applicant, has made, substantial showing)
(applicant, only has made, showing of denial)
(applicant, has made, substantial showing of denial of constitutional right)
(applicant, has made, substantial showing of denial of right)
(applicant, has made, showing)
(applicant, only has made, substantial showing of denial)
(he, raising, his cross-point)
(he, took appeal within, meaning)
(he, took appeal within, meaning of AEDPA)
(he, took, appeal)
(Jennings, certificate of, COA)
(I, agree with, majority that)
(I, agree with, majority)
(failure, is jurisdictional bar, review)
(failure, is, jurisdictional)
(failure, is bar, review)
(Jennings, ', cross-point)
(Jennings ' cross-point, was in, fact)
(party, taken, cross-appeal)
(we, apply, determine)
(State, elects option to, sentencing proceeding)
(State, elects, option)
(State, elects option to, new sentencing)
(State, elects option to, new sentencing proceeding)
(State, resentence, him)
(conditional-release order, allowing, State)
(State, elects option to, sentencing)
(conditional-release order, embodies, specific right)
(conditional-release order, embodies, right)
(appellee, has, attempt add)
(writ, was, understood narrowly)
(writ, was understood far more narrowly For, most)
(writ, was understood more narrowly For, most of its existence)
(writ, was understood For, most)
(writ, was, understood far more narrowly)
(writ, was understood far more narrowly For, most of its existence)
(writ, was understood narrowly For, most of its existence)
(writ, was, understood)
(writ, was understood narrowly For, most)
(writ, was understood more narrowly For, most)
(writ, was, understood more narrowly)
(writ, was understood For, most of its existence)
(prisoner, showed, probable cause)
(It, issued as of, right)
(W. Church, Treatise on, Writ of Habeas Corpus § § 94 122)
(case, calling for, answer gaoler)
(grant, decided, was case calling for answer by gaoler)
(grant, decided, nothing)
(grant, decided, was case)
(grant, decided, was case calling for answer)
(grant, decided nothing, was case calling for answer by gaoler)
(grant, decided nothing, was case calling for answer)
(grant, decided nothing, was case)
(grant, decided nothing, was case calling)
(grant, decided, was case calling)
(case, calling for, answer)
(Goddard, Note on, Habeas Corpus)
(court, has, ultimate decision on matter)
(legality, ordering, his immediate discharge)
(court 's decision, confirming, legality of prisoner 's confinement)
(court 's ultimate decision, confirming, legality of prisoner 's confinement)
(prisoner, of, confinement)
(court 's decision, was, limited)
(court 's decision, confirming, legality)
(court 's ultimate decision, confirming, legality)
(court 's ultimate decision, was, limited)
(legality, ordering, his discharge)
(writ today, justify, broad federal review of state proceedings for violations)
(writ today, justify, federal review)
(writ today, justify, broad review of state proceedings)
(writ, justify, broad federal review of state proceedings)
(writ today, justify, broad review of state proceedings for violations)
(writ, justify, review of state criminal proceedings for violations)
